entry_id,entry_type,relative_path,symbol_or_route,current_owner,business_semantics,phase4_carrier,classification_status,strategy,target_path,target_capability,blocking_tests,drop_phase,risk,notes
legacy:src/app/workline/models/workline.py:LineType,model,src/app/workline/models/workline.py,LineType,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/models/workline.py:WorkLineRunMode,model,src/app/workline/models/workline.py,WorkLineRunMode,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/models/workline.py:WorkLineBase,model,src/app/workline/models/workline.py,WorkLineBase,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/models/workline.py:WorkLine,model,src/app/workline/models/workline.py,WorkLine,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/models/workline.py:WorkLineCreate,model,src/app/workline/models/workline.py,WorkLineCreate,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/models/workline.py:WorkLineUpdate,model,src/app/workline/models/workline.py,WorkLineUpdate,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/models/workline.py:WorkLineResponse,model,src/app/workline/models/workline.py,WorkLineResponse,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/models/workline.py:WorkLineConfigurationCheck,model,src/app/workline/models/workline.py,WorkLineConfigurationCheck,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/models/workline.py:WorkLineConfigurationStatus,model,src/app/workline/models/workline.py,WorkLineConfigurationStatus,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/models/workline.py:WorkLineStateTransitionRequest,model,src/app/workline/models/workline.py,WorkLineStateTransitionRequest,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/services/diagnosis_verdict_builder_service.py:DiagnosisVerdictBuilder,service,src/app/workline/services/diagnosis_verdict_builder_service.py,DiagnosisVerdictBuilder,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/services/line_run_epoch_service.py:ActiveLineRunEpochExistsError,service,src/app/workline/services/line_run_epoch_service.py,ActiveLineRunEpochExistsError,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/services/line_run_epoch_service.py:LineRunEpochRepositoryPort,service,src/app/workline/services/line_run_epoch_service.py,LineRunEpochRepositoryPort,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/services/line_run_epoch_service.py:UnclosedCommandRepositoryPort,service,src/app/workline/services/line_run_epoch_service.py,UnclosedCommandRepositoryPort,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/services/line_run_epoch_service.py:PositionProjectionCleanupPort,service,src/app/workline/services/line_run_epoch_service.py,PositionProjectionCleanupPort,workline,技术残留/调试,False,final,delete,,,tests/architecture/test_core_plugin_test_ownership_guardrail.py,phase5-tech,LOW,
legacy:src/app/workline/services/line_run_epoch_service.py:LineRunEpochService,service,src/app/workline/services/line_run_epoch_service.py,LineRunEpochService,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/services/plane_service.py:PlaneReadPrincipal,service,src/app/workline/services/plane_service.py,PlaneReadPrincipal,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/services/plane_service.py:PlaneReadSecurityPolicy,service,src/app/workline/services/plane_service.py,PlaneReadSecurityPolicy,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/services/plane_service.py:WorkLinePlaneService,service,src/app/workline/services/plane_service.py,WorkLinePlaneService,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/services/rack_position_service.py:WorklineRackPositionService,service,src/app/workline/services/rack_position_service.py,WorklineRackPositionService,workline,WorkLine 配置域能力,False,final,move,src/app/workline/services/,,tests/workline/test_workline_start_service.py;tests/api/test_workline_start_api.py,phase2,MEDIUM,
legacy:src/app/workline/services/safety_service.py:WorkLineSafetyBlocked,service,src/app/workline/services/safety_service.py,WorkLineSafetyBlocked,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
